Distributor_code,Store_code,lattitude,longitude
41A7,M0042,13.9344601,81.1383392
41A7,29547,12.91632833,80.04098666
41A7,36201,12.9256501,80.0952589
41A7,36011,12.9327788,80.1172247
41A7,36126,12.91213833,80.08193166
41A7,46870,13.91497,81.04229333
41A7,46955,12.88605333,80.01974333
41A7,47011,12.925705,80.10148166
41A7,12361,12.908542,80.1427275
41A7,46875,12.8854749,80.0215459
41A7,47668,12.92399076,80.11483638
41A7,47869,12.93161836,80.10790948
41A7,48714,13.89018094,81.01158841
41A7,49355,13.91666785,81.04020824
41A7,49510,12.925251,80.1093577
41A7,47036,12.9151828,80.0691067
41A7,47058,13.8977525,81.0644096
41A7,47262,13.9110973,81.1062108
41A7,47784,13.932144,81.119269
41A7,12381,12.90627,80.14551
41A7,47799,12.93179833,80.117125
41A7,48398,13.93592393,81.12437999
41A7,48429,13.91701838,81.0878926
41A7,50263,13.9254032,81.109191
41A7,A0024,13.92869333,81.11473833
41A7,48616,13.9189435,81.0832656
41A7,48688,13.88917378,81.06352449
41A7,48858,12.92559642,80.11650075
41A7,48938,13.8869211,81.0226147
41A7,48962,13.88573,81.012265
41A7,12386,13.91290836,81.15858196
41A7,49024,13.89534507,81.06455056
41A7,49254,13.9313297,81.118376
41A7,1172,12.88689038,80.0111571
41A7,A0013,12.88563666,80.02232666
41A7,D0003,12.88668666,80.02227833
41A7,D0005,13.8862297,81.0218994
41A7,D0007,13.88712501,81.02146229
41A7,D0009,13.8863861,81.0212734
41A7,D0014,13.88603484,81.02037465
41A7,A0006,12.93034,80.11768666
41A7,12396,12.90057526,80.15283801
41A7,A0012,12.9340428,80.1227251
41A7,T0004,12.93624124,80.12404707
41A7,A0017,13.9352706,81.1226002
41A7,A0019,12.9300235,80.1153186
41A7,A0031,12.9345861,80.1255937
41A7,A0041,12.91232613,80.07014133
41A7,M0005,13.925893,81.1158813
41A7,60229,12.9253883,80.1148818
41A7,R0005,13.927387,81.0996129
41A7,R0008,13.9202618,81.0885859
41A7,12401,12.89860066,80.17108465
41A7,R0011,13.91850258,81.08108185
41A7,R0047,13.91278749,81.0705374
41A7,MRPP1,13.9083092,81.0675788
41A7,M0017,12.9270341,80.113065
41A7,M0019,13.926915,81.11184166
41A7,80620,13.9269173,81.1134973
41A7,M0033,13.925795,81.11637999
41A7,M0034,13.92556499,81.11624499
41A7,M0035,13.92671166,81.11714666
41A7,M0043,12.92575103,80.11621628
41A7,12406,13.90121614,81.15833675
41A7,M0044,13.9260325,81.1158042
41A7,M0049,13.9259528,81.1162303
41A7,M0055,13.92605666,81.116595
41A7,3005,12.925905,80.11622333
41A7,M1388,12.93741333,80.12279
41A7,14299,12.9174857,80.1059552
41A7,14452,13.9255103,81.115922
41A7,6P604,12.9185906,80.0955944
41A7,16244,13.92577775,81.11579643
41A7,16694,12.92786741,80.11063037
41A7,12411,13.90916666,81.16115166
41A7,M0056,12.92646999,80.11725
41A7,P5202,12.91859149,80.08094429
41A7,25322,12.9300199,80.0992907
41A7,46712,13.9253157,81.101288
41A7,50302,13.9263491,81.1158643
41A7,16859,12.92182333,80.09354833
41A7,17018,12.92532743,80.10929499
41A7,17279,13.9369274,81.1132082
41A7,18934,13.93241666,81.11488333
41A7,12421,12.92679,80.159145
41A7,19009,12.9323243,80.1148422
41A7,19018,12.936579,80.1148794
41A7,19048,13.92281866,81.13339221
41A7,M0067,13.927195,81.1142045
41A7,D0001,13.8863719,81.0218837
41A7,19501,13.9257671,81.106307
41A7,11000,13.8857675,81.0155647
41A7,20534,12.92780268,80.10451817
41A7,11086,12.92264079,80.14587312
41A7,20807,13.91834734,81.106037
41A7,20867,13.9266343,81.116159
41A7,12431,13.90357705,81.15010489
41A7,21077,13.93239333,81.11693333
41A7,21119,12.92371016,80.09284472
41A7,21149,13.93222255,81.11625961
41A7,P2120,12.90548086,80.0663048
41A7,11486,12.9192829,80.0870796
41A7,24186,13.94826,81.12979166
41A7,24489,13.88655,81.02098833
41A7,24758,12.9160988,80.0881061
41A7,24962,13.9268698,81.1053602
41A7,49284,13.93162833,81.118315
41A7,12436,12.90624751,80.14561861
41A7,49482,13.8882231,81.0213009
41A7,50187,13.89312166,81.066705
41A7,1127,13.89246023,81.02358999
41A7,50273,13.91737209,81.07548719
41A7,D0002,12.8870006,80.0227203
41A7,D0008,12.8863343,80.0211151
41A7,D0010,12.8862288,80.0208188
41A7,D0012,12.8857718,80.020699
41A7,D0017,12.90722631,80.06885944
41A7,12451,12.90015666,80.17318166
41A7,A0027,12.9290898,80.119551
41A7,A0040,13.9351188,81.1237949
41A7,A0043,12.93646541,80.12439216
41A7,60271,12.9260366,80.115457
